line_Treat 0,line_Treat 1,bin_Treat 0,bin_Treat 1
0.00017735117843073472,1.2376568290755354,0.07024166666666666,0.0
0.0003995373596276038,1.52882978504388,0.10339017857142857,0.05753764880952383
0.0008678959115415229,1.7545832241038104,0.13653869047619047,0.11507529761904765
0.00181787836241696,1.8708749283369683,0.16968720238095236,0.17261294642857147
0.0036715456210457604,1.853409916059015,0.20283571428571429,0.2301505952380953
0.00715022927847421,1.7059022982678143,0.23598422619047615,0.2876882440476191
0.013426967503068803,1.458789978653636,0.2691327380952381,0.34522589285714295
0.024312120419303047,1.159010399971446,0.30228125,0.4027635416666668
0.0424477494431305,0.8555351148860849,0.33542976190476187,0.4603011904761906
0.07146171436567623,0.5867381011829284,0.3685782738095238,0.5178388392857144
0.11600564493976045,0.3738580077623322,0.40172678571428566,0.5753764880952382
0.18158156118281293,0.22132222545322675,0.4348752976190476,0.6329141369047621
0.27406356274566657,0.12173047439871963,0.4680238095238095,0.6904517857142859
0.39885751868781655,0.062205608877811826,0.5011723214285714,0.7479894345238097
0.5597204798755928,0.029533554610726,0.5343208333333334,0.8055270833333336
0.7573760072083305,0.013027402804679879,0.5674693452380952,0.8630647321428574
0.9881862779196516,0.0053389506566140915,0.6006178571428571,0.9206023809523812
1.2432344199238814,NaN,0.633766369047619,NaN
1.5081834213123675,NaN,0.6669148809523809,NaN
1.7641773023508909,NaN,0.7000633928571428,NaN
1.9898357466057228,NaN,0.7332119047619047,NaN
2.16410913104449,NaN,0.7663604166666667,NaN
2.269488659822509,NaN,0.7995089285714285,NaN
2.294900217733979,NaN,0.8326574404761904,NaN
2.2376209933322357,NaN,0.8658059523809524,NaN
2.1037599319317195,NaN,0.8989544642857142,NaN
1.90718473192024,NaN,0.9321029761904761,NaN
1.66715613109104,NaN,0.965251488095238,NaN
1.40522774874916,NaN,0.9984,NaN
